method,ratio,user_macro_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m,users,cases
aligned_pointwise_mean,0.25,0.3958968401151443,0.4472237398202511,0.5559651381076126,1461.521983538034,37,1475
aligned_pointwise_mean,0.5,0.404568454952814,0.458601404392101,0.5936462462928166,1254.9151910793307,37,1475
aligned_pointwise_mean,0.66,0.4281692689808547,0.4883994735111412,0.6302219226178317,1205.8141317304685,37,1475
aligned_pointwise_mean,0.75,0.4528318243815414,0.5141852671587633,0.6556110170542151,1026.6189102335372,37,1475
current_position_only_personal_retrieval,0.25,0.3099186005407294,0.3593513427410834,0.4751392376074356,2153.3159622076464,37,1475
current_position_only_personal_retrieval,0.5,0.3469458584101199,0.3987728617780474,0.5286623717314817,2274.8671058076793,37,1475
current_position_only_personal_retrieval,0.66,0.4249811730613994,0.4790148967174035,0.6090956527608551,1151.6483989641806,37,1475
current_position_only_personal_retrieval,0.75,0.4427576782986454,0.5099088500260149,0.6353536806261421,808.0517025174349,37,1475
discrete_frechet,0.25,0.373136579029711,0.4279716927920335,0.5337651643122324,1519.3484646802422,37,1475
discrete_frechet,0.5,0.4164460521221635,0.4660118317402149,0.6030320455829636,1241.14489971013,37,1475
discrete_frechet,0.66,0.4529829348253741,0.5127848277105128,0.634514861665239,924.9421722241224,37,1475
discrete_frechet,0.75,0.4572389829253619,0.5207279817888951,0.6507164079105767,866.9011864282934,37,1475
dtw_mean_path_cost,0.25,0.3887089867618877,0.4409636385382861,0.5445160403196067,1610.4584234466697,37,1475
dtw_mean_path_cost,0.5,0.4155205990883384,0.4667640339186917,0.5986421487933725,1311.329547860794,37,1475
dtw_mean_path_cost,0.66,0.4490854298203702,0.5093603346032461,0.6413052465642746,961.9414986004524,37,1475
dtw_mean_path_cost,0.75,0.4647062922737286,0.5321895220909524,0.6600554452741518,948.7638238965494,37,1475
aligned_pointwise_mean,mean,0.4203665971075886,0.4771024712205642,0.608861081018119,1237.2175541453423,37,5900
current_position_only_personal_retrieval,mean,0.3811508275777235,0.4367619878156373,0.5620627356814786,1596.970792374235,37,5900
discrete_frechet,mean,0.4249511372256526,0.4818740835079141,0.605507119867753,1138.084180760697,37,5900
dtw_mean_path_cost,mean,0.4295053269860813,0.4873193822877941,0.6111297202378514,1208.1233234511162,37,5900
